	ensID	symbol
505	ENSMUSG00000099579	1700120K04Rik
506	ENSMUSG00000093386	1700120O09Rik
507	ENSMUSG00000086275	1700121C08Rik
508	ENSMUSG00000099574	1700121L03Rik
509	ENSMUSG00000100364	1700121L16Rik
510	ENSMUSG00000092066	1700121N20Rik
511	ENSMUSG00000101409	1700122D07Rik
512	ENSMUSG00000087685	1700122E12Rik
513	ENSMUSG00000099735	1700122H20Rik
514	ENSMUSG00000094928	1700122O11Rik
515	ENSMUSG00000029526	1700123K08Rik
516	ENSMUSG00000072878	1700123L14Rik
517	ENSMUSG00000085614	1700123M08Rik
518	ENSMUSG00000086080	1700123O12Rik
519	ENSMUSG00000040822	1700123O20Rik
520	ENSMUSG00000101481	1700123O21Rik
521	ENSMUSG00000099354	1700124L16Rik
522	ENSMUSG00000085263	1700125G02Rik
523	ENSMUSG00000097584	1700125G22Rik
524	ENSMUSG00000085197	1700125H03Rik
525	ENSMUSG00000018479	1700125H20Rik
526	ENSMUSG00000099945	1700126A01Rik
527	ENSMUSG00000107014	1700126H18Rik
528	ENSMUSG00000099794	1700128A07Rik
529	ENSMUSG00000031510	1700128E19Rik
530	ENSMUSG00000031998	1700128F08Rik
531	ENSMUSG00000021977	1700129C05Rik
532	ENSMUSG00000100603	1700129L04Rik
533	ENSMUSG00000100182	1810006J02Rik
534	ENSMUSG00000100844	1810007C17Rik
535	ENSMUSG00000100001	1810007D17Rik
536	ENSMUSG00000089745	1810008B01Rik
537	ENSMUSG00000100094	1810008I18Rik
538	ENSMUSG00000071653	1810009A15Rik
539	ENSMUSG00000094808	1810009J06Rik
540	ENSMUSG00000078607	1810010H24Rik
541	ENSMUSG00000056329	1810010K12Rik
542	ENSMUSG00000087595	1810012K08Rik
543	ENSMUSG00000099825	1810012K16Rik
544	ENSMUSG00000028177	1810013D15Rik
545	ENSMUSG00000022507	1810013L24Rik
546	ENSMUSG00000097412	1810014B01Rik
547	ENSMUSG00000106838	1810017P11Rik
548	ENSMUSG00000101088	1810018F18Rik
549	ENSMUSG00000086390	1810019D21Rik
550	ENSMUSG00000097115	1810019N24Rik
551	ENSMUSG00000089997	1810020O05Rik
552	ENSMUSG00000087331	1810021B22Rik
553	ENSMUSG00000078784	1810022K09Rik
554	ENSMUSG00000044145	1810024B03Rik
555	ENSMUSG00000101970	1810026B05Rik
556	ENSMUSG00000044148	1810030O07Rik
557	ENSMUSG00000020812	1810032O08Rik
558	ENSMUSG00000097101	1810034E14Rik
559	ENSMUSG00000054091	1810037I17Rik
560	ENSMUSG00000102112	1810041H14Rik
561	ENSMUSG00000020284	1810043G02Rik
562	ENSMUSG00000100680	1810044D09Rik
563	ENSMUSG00000036027	1810046K07Rik
564	ENSMUSG00000097221	1810049J17Rik
565	ENSMUSG00000100277	1810053B23Rik
566	ENSMUSG00000035372	1810055G02Rik
567	ENSMUSG00000073155	1810058I24Rik
568	ENSMUSG00000086340	1810059C17Rik
569	ENSMUSG00000027713	1810062G17Rik
570	ENSMUSG00000084925	1810062O18Rik
571	ENSMUSG00000085551	1810063I02Rik
572	ENSMUSG00000090925	1810064F22Rik
573	ENSMUSG00000013653	1810065E05Rik
574	ENSMUSG00000087165	2010001A14Rik
575	ENSMUSG00000051606	2010001K21Rik
576	ENSMUSG00000042041	2010003K11Rik
577	ENSMUSG00000095620	2010005H15Rik
578	ENSMUSG00000044694	2010007H06Rik
579	ENSMUSG00000100860	2010009K17Rik
580	ENSMUSG00000102047	2010010A06Rik
581	ENSMUSG00000087277	2010013B24Rik
582	ENSMUSG00000096983	2010015M23Rik
583	ENSMUSG00000102444	2010015M23Rik
584	ENSMUSG00000091575	2010016I18Rik
585	ENSMUSG00000104368	2010103J01Rik
586	ENSMUSG00000100738	2010106C02Rik
587	ENSMUSG00000025528	2010106E10Rik
588	ENSMUSG00000029384	2010109A12Rik
589	ENSMUSG00000063522	2010109I03Rik
590	ENSMUSG00000098434	2010110E17Rik
591	ENSMUSG00000106095	2010110G14Rik
592	ENSMUSG00000097755	2010110K18Rik
593	ENSMUSG00000021458	2010111I01Rik
594	ENSMUSG00000063018	2010204K13Rik
595	ENSMUSG00000026090	2010300C02Rik
596	ENSMUSG00000097289	2010300F17Rik
597	ENSMUSG00000100714	2010308F09Rik
598	ENSMUSG00000106567	2010309G21Rik
599	ENSMUSG00000101268	2010310C07Rik
600	ENSMUSG00000074829	2010315B03Rik
601	ENSMUSG00000098810	2010315B03Rik
602	ENSMUSG00000100691	2010320M18Rik
603	ENSMUSG00000089983	2010320O07Rik
604	ENSMUSG00000030587	2200002D01Rik
605	ENSMUSG00000013083	2200002J24Rik
